team,IP,ERA,FIP,Kpct,BBpct,KmBB,HR9,WHIP,LOB,IRstr,svconv,GOAO,xwoba_a,barrel_a,hard_a,BURR,rank
ATL,236.0,3.242,3.684,0.236,0.074,0.161,1.068,1.106,0.754,0.739,0.719,0.8425,0.253,4.612,29.613,1.205,1
NYY,280.3,3.146,3.56,0.232,0.085,0.146,0.803,1.202,0.734,0.764,0.636,1.232627824019025,0.277,4.856,35.792,1.18,2
NYM,166.0,3.145,3.474,0.262,0.097,0.165,0.867,1.145,0.732,0.771,0.737,0.846144578313253,0.279,6.821,32.168,1.167,3
SD,245.7,3.48,3.717,0.266,0.093,0.173,1.062,1.25,0.777,0.71,0.794,1.2459158751696064,0.276,5.959,32.916,1.159,4
TOR,220.7,3.671,3.621,0.235,0.095,0.14,0.856,1.319,0.696,0.718,0.714,1.528172205438066,0.265,4.738,31.669,1.158,5
PHI,220.0,4.336,3.546,0.274,0.095,0.179,0.941,1.359,0.714,0.701,0.778,0.9593636363636362,0.275,5.033,31.878,1.155,6
LAD,229.3,4.16,3.78,0.252,0.11,0.142,0.903,1.282,0.714,0.763,0.767,0.9729069767441861,0.252,4.946,30.82,1.133,7
SEA,259.0,3.371,3.588,0.223,0.094,0.129,0.695,1.305,0.749,0.714,0.611,1.0779665379665382,0.293,6.704,38.712,1.105,8
MIL,229.3,3.807,3.832,0.216,0.09,0.126,0.942,1.282,0.723,0.64,0.784,1.1200726744186047,0.287,5.003,37.595,1.092,9
MIA,195.3,4.009,3.471,0.256,0.112,0.144,0.599,1.239,0.682,0.75,0.429,0.9807337883959045,0.29,7.881,41.073,1.091,10
AZ,282.0,3.798,3.823,0.208,0.077,0.131,0.926,1.181,0.704,0.73,0.706,1.135981087470449,0.287,7.509,36.841,1.082,11
CLE,311.0,3.791,3.809,0.258,0.098,0.159,1.042,1.331,0.742,0.764,0.769,0.7563022508038586,0.302,9.399,42.495,1.056,12
BOS,251.3,3.939,3.981,0.227,0.083,0.145,1.146,1.273,0.733,0.646,0.724,0.9639522546419099,0.322,7.752,35.515,1.044,13
BAL,295.7,4.14,3.978,0.229,0.085,0.144,1.157,1.268,0.667,0.727,0.7,0.963032694475761,0.301,7.77,38.093,1.038,14
TB,200.3,4.313,4.505,0.223,0.09,0.133,1.393,1.238,0.704,0.77,0.756,0.9728951747088184,0.287,6.713,39.8,1.023,15
HOU,255.0,3.741,4.227,0.228,0.118,0.11,0.988,1.286,0.732,0.722,0.844,0.7399869281045751,0.311,6.591,38.931,1.021,16
STL,289.7,3.884,4.138,0.198,0.103,0.095,0.839,1.301,0.705,0.664,0.667,1.0706559263521291,0.329,7.634,40.195,0.989,17
PIT,265.7,4.777,4.546,0.235,0.118,0.117,1.186,1.453,0.695,0.673,0.517,0.9604265997490592,0.3,6.186,34.346,0.968,18
DET,184.0,4.304,4.321,0.21,0.115,0.095,1.027,1.37,0.699,0.732,0.5,1.3483876811594204,0.311,6.7,43.319,0.963,19
ATH,217.3,4.887,4.821,0.234,0.106,0.129,1.532,1.426,0.738,0.686,0.586,0.7389877300613498,0.305,6.8,35.364,0.955,20
LAA,261.0,4.448,4.534,0.254,0.128,0.126,1.207,1.383,0.731,0.676,0.333,1.011213282247765,0.307,7.536,36.203,0.955,21
SF,299.7,4.715,4.53,0.197,0.116,0.082,1.051,1.478,0.696,0.648,0.621,0.9979755283648498,0.305,6.269,33.781,0.943,22
COL,198.7,5.029,4.723,0.195,0.105,0.09,1.268,1.581,0.734,0.695,0.571,0.8729530201342282,0.293,5.8,39.4,0.929,23
CHC,287.7,4.599,5.279,0.2,0.095,0.105,1.721,1.38,0.771,0.65,0.464,0.8082502896871381,0.333,7.182,42.128,0.896,24
MIN,292.3,5.48,4.847,0.187,0.11,0.076,1.201,1.539,0.671,0.654,0.727,0.8591904218928166,0.328,7.849,36.094,0.884,25
TEX,181.0,5.37,4.994,0.189,0.093,0.096,1.492,1.486,0.674,0.725,0.2,0.7301657458563535,0.301,6.352,37.752,0.883,26
KC,299.3,4.781,4.963,0.184,0.113,0.071,1.263,1.52,0.732,0.59,0.59,1.049922048997773,0.314,7.539,38.646,0.88,27
CIN,322.3,4.663,5.068,0.214,0.139,0.075,1.284,1.505,0.723,0.743,0.571,0.9800930713547054,0.33,9.049,35.761,0.879,28
CWS,171.0,4.579,4.819,0.213,0.139,0.074,1.105,1.421,0.707,0.618,0.615,0.7761208576998051,0.324,8.696,40.711,0.879,29
WSH,232.0,6.595,5.595,0.202,0.121,0.08,1.707,1.685,0.625,0.519,0.459,0.9332902298850574,0.368,11.0,45.261,0.763,30
