QB,Tm,games,attempts,rush_att_pg,rush_ypg,rush_fp_pct,fp_pg,qb_type
Josh Allen,BUF,16,460,7.0,36.2,39.0,22.8,Very Mobile/Running
Drake Maye,NE,17,492,6.1,26.5,20.0,20.6,Very Mobile/Running
Matthew Stafford,LA,17,597,1.7,0.1,0.0,20.6,Pocket
Patrick Mahomes,KC,14,502,4.6,30.1,25.0,20.3,Mobile
Trevor Lawrence,JAX,17,560,4.8,21.1,27.0,19.9,Mobile
Brock Purdy,SF,9,284,3.7,16.3,18.0,19.7,Mobile
Jalen Hurts,PHI,16,454,6.6,26.3,30.0,18.8,Very Mobile/Running
Caleb Williams,CHI,17,568,4.5,22.5,18.0,18.6,Mobile
Dak Prescott,DAL,17,600,3.1,10.4,9.0,18.5,Pocket
Bo Nix,DEN,17,612,4.9,20.9,22.0,17.9,Mobile
Justin Herbert,LAC,16,512,5.2,31.1,22.0,17.9,Mobile
Jared Goff,DET,17,578,1.1,2.6,2.0,17.5,Pocket
Daniel Jones,IND,13,384,3.5,12.6,20.0,17.4,Pocket
Jaxson Dart,NYG,14,339,6.1,34.8,43.0,17.3,Very Mobile/Running
Joe Burrow,CIN,8,259,1.8,5.1,3.0,16.8,Pocket
Lamar Jackson,BAL,13,302,5.2,26.8,22.0,16.5,Mobile
Jayden Daniels,WAS,7,188,8.3,39.7,35.0,16.3,Very Mobile/Running
Jacoby Brissett,ARI,14,485,2.7,12.0,10.0,16.2,Pocket
Baker Mayfield,TB,17,543,3.2,22.5,16.0,16.0,Mobile
Justin Fields,NYJ,9,204,7.9,42.6,44.0,15.9,Very Mobile/Running
Jordan Love,GB,15,439,3.1,13.3,8.0,15.7,Pocket
Kyler Murray,ARI,5,161,5.8,34.6,30.0,15.6,Very Mobile/Running
C.J. Stroud,HOU,14,423,3.4,14.9,13.0,14.9,Pocket
Tyler Shough,NO,11,327,4.1,16.9,23.0,14.4,Mobile
Aaron Rodgers,PIT,16,498,1.3,3.8,5.0,14.1,Pocket
Carson Wentz,MIN,5,169,2.2,11.4,8.0,14.1,Pocket
Sam Darnold,SEA,17,477,2.1,5.6,4.0,13.8,Pocket
Bryce Young,CAR,16,478,3.4,13.5,15.0,13.6,Pocket
Michael Penix Jr.,ATL,9,276,2.3,7.8,11.0,13.4,Pocket
Marcus Mariota,WAS,10,227,5.0,29.7,28.0,12.6,Mobile
J.J. McCarthy,MIN,10,243,3.7,18.1,34.0,12.5,Mobile
Mac Jones,SF,11,289,3.3,5.5,5.0,11.8,Pocket
Geno Smith,LV,15,448,2.7,7.3,6.0,11.6,Pocket
Tua Tagovailoa,MIA,14,384,1.4,3.1,3.0,11.5,Pocket
Davis Mills,HOU,6,159,2.2,10.0,17.0,11.4,Pocket
Joe Flacco,CIN,13,416,1.6,2.7,6.0,11.3,Pocket
Cam Ward,TEN,17,540,2.3,9.4,15.0,11.0,Pocket
Spencer Rattler,NO,9,257,3.4,18.6,17.0,10.9,Mobile
Shedeur Sanders,CLE,8,212,2.6,21.1,27.0,10.6,Mobile
Kirk Cousins,ATL,10,269,1.4,0.7,6.0,10.4,Pocket
Tyrod Taylor,NYJ,6,134,4.5,23.8,34.0,9.9,Mobile
Jake Browning,CIN,5,125,1.8,7.8,20.0,9.7,Pocket
Russell Wilson,NYG,6,119,3.0,17.7,21.0,8.3,Pocket
Dillon Gabriel,CLE,10,185,1.4,8.6,12.0,7.0,Pocket
Brady Cook,NYJ,5,153,2.6,9.8,17.0,5.7,Pocket
