name,team,pa,xwoba,barrel_batted_rate,hard_hit_percent,k_percent,bb_percent,whiff_percent,SMASH,tier
"Miller, Mason",SD,142,0.177,1.7,20.3,48.6,9.2,47.7,81.3,ELITE
"Lee, Dylan",ATL,151,0.214,4.3,28.0,33.8,4.6,38.4,70.5,ELITE
"Misiorowski, Jacob",MIL,422,0.224,3.2,34.1,39.6,6.4,37.5,69.7,ELITE
"Duran, Jhoan",PHI,123,0.231,4.6,47.0,40.7,4.9,39.8,67.0,ELITE
"Varland, Louis",TOR,184,0.217,2.9,35.2,35.9,7.1,29.5,66.3,ELITE
"Scott, Tanner",LAD,141,0.254,7.0,29.1,34.8,3.5,35.7,66.0,ELITE
"Morejon, Adrian",SD,192,0.248,2.5,30.1,29.2,5.7,35.3,65.8,ELITE
"Miller, Bryce",SEA,215,0.236,6.4,28.4,30.2,4.2,28.8,64.0,ELITE
"Cease, Dylan",TOR,401,0.264,4.4,33.0,36.9,11.0,35.9,62.6,GREEN
"Hoffman, Jeff",TOR,175,0.271,7.6,30.1,36.0,8.6,38.2,62.5,GREEN
"Cruz, Fernando",NYY,162,0.27,5.6,21.1,29.6,13.6,40.9,61.8,GREEN
"Baker, Bryan",TB,140,0.246,5.7,31.0,29.3,7.9,31.1,61.4,GREEN
"Morillo, Juan",AZ,147,0.245,4.6,33.7,29.3,8.8,32.2,61.3,GREEN
"Rodriguez, Bradgley",SD,162,0.235,2.7,30.6,22.8,8.6,29.7,61.2,GREEN
"Iglesias, Raisel",ATL,124,0.257,4.9,32.9,28.2,5.6,29.5,61.2,GREEN
"Megill, Trevor",MIL,145,0.247,4.5,42.0,31.7,6.9,32.4,61.1,GREEN
"Okert, Steven",HOU,171,0.258,4.5,28.3,25.7,7.0,29.5,60.9,GREEN
"Luzardo, Jesús",PHI,463,0.269,5.3,30.5,29.4,7.6,32.5,60.8,GREEN
"Ohtani, Shohei",LAD,340,0.257,3.8,33.8,27.9,7.6,30.4,60.7,GREEN
"Whitlock, Garrett",BOS,120,0.281,5.1,33.3,30.0,5.0,29.6,60.3,GREEN
"Henriquez, Edgardo",LAD,141,0.246,3.3,28.9,24.8,9.2,26.4,59.9,GREEN
"Wheeler, Zack",PHI,333,0.257,6.1,36.2,29.4,6.0,29.7,59.9,GREEN
"Sisk, Evan",PIT,152,0.265,3.3,31.1,28.3,8.6,26.5,59.7,GREEN
"Vesia, Alex",LAD,129,0.255,4.5,34.8,33.3,15.5,37.6,59.5,GREEN
"Bednar, David",NYY,154,0.259,4.1,39.2,28.6,7.8,30.7,59.3,GREEN
"Skenes, Paul",PIT,420,0.259,6.0,37.6,29.3,5.5,27.8,59.2,GREEN
"Taylor, Grant",CWS,192,0.241,7.3,42.3,33.9,8.3,30.4,59.1,GREEN
"Uribe, Abner",MIL,148,0.258,2.0,30.3,23.6,9.5,26.6,59.1,GREEN
"Latz, Jacob",TEX,159,0.247,6.8,38.8,28.9,6.3,29.3,59.0,GREEN
"Skubal, Tarik",DET,276,0.279,7.8,38.0,30.4,3.6,31.0,58.9,GREEN
"Brazobán, Huascar",NYM,182,0.267,2.6,23.1,23.6,11.5,26.0,58.6,GREEN
"Fried, Max",NYY,240,0.253,1.8,30.8,20.8,7.9,23.2,58.5,GREEN
"Williams, Devin",NYM,142,0.278,6.2,30.9,31.0,12.0,35.7,58.5,GREEN
"Weaver, Luke",NYM,147,0.26,8.6,32.3,28.6,7.5,31.3,58.4,GREEN
"Sale, Chris",ATL,392,0.289,5.7,32.8,28.6,6.1,29.2,58.3,GREEN
"Kinley, Tyler",ATL,133,0.267,5.8,25.3,24.8,9.0,27.8,58.3,GREEN
"Morán, Jovani",BOS,147,0.263,8.4,29.8,30.6,11.6,35.0,58.3,GREEN
"Glasnow, Tyler",LAD,148,0.252,8.1,38.4,33.1,8.8,29.8,58.1,GREEN
"Harrison, Kyle",MIL,341,0.277,6.5,36.6,29.6,5.9,29.0,58.1,GREEN
"Headrick, Brent",NYY,188,0.271,5.0,38.3,27.7,8.5,33.2,58.1,GREEN
"Garcia, Rico",BAL,150,0.276,7.4,34.7,28.0,8.7,36.7,58.0,GREEN
"Alvarado, José",PHI,158,0.305,4.3,28.0,28.5,8.9,30.0,57.9,GREEN
"Schlittler, Cam",NYY,442,0.267,8.0,38.8,29.6,4.8,27.6,57.6,GREEN
"Mize, Casey",DET,280,0.271,6.8,34.6,25.7,5.7,28.7,57.5,GREEN
"Suarez, José",ATH,215,0.295,1.5,30.1,25.1,10.2,28.2,57.5,GREEN
"Morris, Andrew",MIN,179,0.269,3.3,33.3,24.6,7.3,23.1,57.4,GREEN
"Fuentes, Didier",ATL,147,0.277,4.3,37.6,27.9,7.5,27.1,57.3,GREEN
"Bender, Anthony",MIA,140,0.254,7.1,33.3,29.3,8.6,24.0,57.2,GREEN
"Suarez, Robert",ATL,121,0.282,3.4,33.0,21.5,5.0,24.0,57.1,GREEN
"Leiter Jr., Mark",ATH,135,0.316,3.4,31.0,25.9,7.4,29.8,56.9,GREEN
"Suarez, Ranger",BOS,376,0.283,5.2,31.1,25.8,6.9,24.2,56.8,GREEN
"Gray, Peyton",TEX,142,0.273,6.5,33.3,26.1,7.0,26.5,56.7,GREEN
"Roupp, Landen",SF,411,0.286,3.8,28.2,25.3,10.2,26.1,56.6,GREEN
"Messick, Parker",CLE,423,0.28,5.3,33.5,25.8,7.6,26.5,56.5,GREEN
"Rasmussen, Drew",TB,392,0.282,6.6,33.8,25.0,4.3,24.4,56.5,GREEN
"Woodruff, Brandon",MIL,174,0.264,7.8,34.5,27.0,5.7,23.6,56.5,GREEN
"Ashby, Aaron",MIL,239,0.272,4.4,39.7,30.1,12.1,31.9,56.5,GREEN
"Fluharty, Mason",TOR,158,0.267,7.1,30.6,27.2,10.1,28.1,56.5,GREEN
"Ashcraft, Braxton",PIT,439,0.278,6.0,40.6,27.8,5.7,27.4,56.5,GREEN
"Smith, Cade",CLE,173,0.284,10.0,44.9,35.3,6.4,34.3,56.5,GREEN
"Yamamoto, Yoshinobu",LAD,398,0.284,6.6,35.8,25.1,5.3,28.2,56.4,GREEN
"Wells, Tyler",BAL,174,0.294,6.8,34.7,25.9,5.7,29.7,56.3,GREEN
"Kerkering, Orion",PHI,155,0.271,6.5,23.9,25.8,12.9,28.1,56.2,GREEN
"deGrom, Jacob",TEX,401,0.289,8.9,44.0,30.4,5.5,34.4,55.9,WHITE
"Winn, Keaton",SF,119,0.289,4.8,27.7,21.8,7.6,24.5,55.8,WHITE
"Zeferjahn, Ryan",LAA,186,0.278,4.5,34.8,31.7,16.1,32.8,55.8,WHITE
"Klein, Will",LAD,154,0.28,3.1,36.1,26.6,9.1,22.8,55.7,WHITE
"Dreyer, Jack",LAD,148,0.277,7.5,39.4,29.1,6.8,27.3,55.7,WHITE
"Muñoz, Andrés",SEA,144,0.304,8.8,42.5,34.0,9.7,39.9,55.7,WHITE
"Yarbrough, Ryan",NYY,157,0.275,3.6,24.1,17.2,9.6,23.9,55.5,WHITE
"Sánchez, Cristopher",PHI,496,0.279,9.0,44.1,27.6,4.8,32.3,55.4,WHITE
"Seymour, Ian",TB,251,0.28,8.4,36.1,28.7,8.4,30.0,55.4,WHITE
"Weissert, Greg",BOS,149,0.279,3.9,31.4,22.1,8.1,22.3,55.4,WHITE
"Melton, Troy",DET,189,0.269,5.9,36.3,21.7,5.8,24.4,55.3,WHITE
"Jones, Jared",PIT,144,0.295,7.4,38.3,27.1,7.6,32.7,55.1,WHITE
"Bennett, Jake",BOS,182,0.268,6.5,35.5,19.2,4.4,24.1,55.1,WHITE
"Tolle, Payton",BOS,326,0.274,6.9,34.1,24.5,7.4,24.8,55.0,WHITE
"Loáisiga, Jonathan",AZ,138,0.278,3.7,32.4,15.9,5.1,22.2,54.9,WHITE
"Burns, Chase",CIN,413,0.278,9.2,37.4,28.6,9.0,31.7,54.8,WHITE
"McLean, Nolan",NYM,422,0.288,6.3,34.5,28.0,8.8,25.1,54.8,WHITE
"Montgomery, Mason",PIT,154,0.283,9.4,41.2,34.4,10.4,32.3,54.8,WHITE
"Sterner, Justin",ATH,168,0.265,8.5,43.7,23.8,5.4,30.6,54.7,WHITE
"Alexander, Tyler",TEX,164,0.275,3.5,35.7,21.3,7.3,20.8,54.6,WHITE
"Mayza, Tim",PHI,165,0.276,6.1,43.9,25.5,4.8,24.1,54.6,WHITE
"Soto, Gregory",PIT,158,0.284,6.3,35.8,27.8,10.1,27.4,54.6,WHITE
"Miles, Spencer",TOR,235,0.28,4.3,34.6,23.8,7.2,19.5,54.6,WHITE
"Newcomb, Sean",CWS,210,0.295,4.4,35.0,24.3,8.1,25.0,54.5,WHITE
"Detmers, Reid",LAA,452,0.287,8.0,38.1,27.2,7.7,28.7,54.3,WHITE
"Keller, Brad",PHI,135,0.284,4.6,31.8,23.7,9.6,22.5,54.2,WHITE
"Yesavage, Trey",TOR,298,0.275,5.6,35.7,22.8,10.7,29.3,54.2,WHITE
"Ferrer, José A.",SEA,163,0.272,5.1,35.6,19.6,6.1,21.6,54.2,WHITE
"Lynch IV, Daniel",KC,151,0.287,6.7,34.3,21.2,7.9,29.6,54.1,WHITE
