url,slug,lastmod,franchise
https://www.fantasyguru.com/rays-ramblings-pitcher-workload-concerns,rays-ramblings-pitcher-workload-concerns,2026-07-09T19:13:51.000Z,Ray's Ramblings
https://www.fantasyguru.com/mlb-cheat-sheet,mlb-cheat-sheet,2026-07-09T18:18:34.000Z,MLB Cheat Sheet
https://www.fantasyguru.com/mlb-dfs-breakdown-7-9-2026,mlb-dfs-breakdown-7-9-2026,2026-07-09T16:19:19.000Z,MLB DFS Breakdown
https://www.fantasyguru.com/2026-mlb-umpire-report-thursdays-strike-zone-week-16,2026-mlb-umpire-report-thursdays-strike-zone-week-16,2026-07-09T14:30:16.000Z,MLB Umpire Report
https://www.fantasyguru.com/mlb-dfs-draftkings-breakdown-7-8-2026,mlb-dfs-draftkings-breakdown-7-8-2026,2026-07-08T16:15:43.000Z,MLB DFS Breakdown
https://www.fantasyguru.com/rays-plays-july-8th-2026,rays-plays-july-8th-2026,2026-07-08T15:28:56.000Z,Ray's Plays
https://www.fantasyguru.com/2026-mlb-umpire-report-wednesdays-strike-zone-week-16,2026-mlb-umpire-report-wednesdays-strike-zone-week-16,2026-07-08T13:22:10.000Z,MLB Umpire Report
https://www.fantasyguru.com/2026-mlb-umpire-report-tuesdays-strike-zone-week-16,2026-mlb-umpire-report-tuesdays-strike-zone-week-16,2026-07-07T17:00:30.000Z,MLB Umpire Report
https://www.fantasyguru.com/rays-plays-july-7th-2026,rays-plays-july-7th-2026,2026-07-07T16:24:37.000Z,Ray's Plays
https://www.fantasyguru.com/mlb-dfs-breakdown-7-7-2026,mlb-dfs-breakdown-7-7-2026,2026-07-07T16:16:35.000Z,MLB DFS Breakdown
https://www.fantasyguru.com/rays-plays-july-6th-2026,rays-plays-july-6th-2026,2026-07-06T18:33:55.000Z,Ray's Plays
https://www.fantasyguru.com/mlb-dfs-breakdown-7-6-2026,mlb-dfs-breakdown-7-6-2026,2026-07-06T16:18:33.000Z,MLB DFS Breakdown
https://www.fantasyguru.com/2026-mlb-planner-week-16,2026-mlb-planner-week-16,2026-07-05T16:26:31.000Z,
https://www.fantasyguru.com/2026-mlb-umpire-report-sundays-strike-zone-week-15,2026-mlb-umpire-report-sundays-strike-zone-week-15,2026-07-05T15:12:54.000Z,MLB Umpire Report
https://www.fantasyguru.com/mlb-dfs-breakdown-7-5-2026,mlb-dfs-breakdown-7-5-2026,2026-07-05T14:57:23.000Z,MLB DFS Breakdown
https://www.fantasyguru.com/mlb-dfs-breakdown-7-4-2026,mlb-dfs-breakdown-7-4-2026,2026-07-05T13:36:52.000Z,MLB DFS Breakdown
https://www.fantasyguru.com/2026-mlb-umpire-report-saturdays-strike-zone-week-15,2026-mlb-umpire-report-saturdays-strike-zone-week-15,2026-07-04T15:02:18.000Z,MLB Umpire Report
https://www.fantasyguru.com/2026-mlb-faab-values-week-15,2026-mlb-faab-values-week-15,2026-07-03T23:19:21.000Z,
https://www.fantasyguru.com/mlb-dfs-breakdown-7-3-2026,mlb-dfs-breakdown-7-3-2026,2026-07-03T17:44:38.000Z,MLB DFS Breakdown
https://www.fantasyguru.com/rays-ramblings-recent-expected-performances,rays-ramblings-recent-expected-performances,2026-07-02T18:45:29.000Z,Ray's Ramblings
https://www.fantasyguru.com/mlb-dfs-breakdown-7-2-2026,mlb-dfs-breakdown-7-2-2026,2026-07-02T16:44:10.000Z,MLB DFS Breakdown
https://www.fantasyguru.com/2026-the-closer-grid-july-2nd,2026-the-closer-grid-july-2nd,2026-07-02T15:20:17.000Z,
https://www.fantasyguru.com/mlb-dfs-breakdown-6-25-2026,mlb-dfs-breakdown-6-25-2026,2026-07-02T11:53:01.000Z,MLB DFS Breakdown
https://www.fantasyguru.com/mlb-dfs-breakdown-7-1-2026,mlb-dfs-breakdown-7-1-2026,2026-07-01T17:29:46.000Z,MLB DFS Breakdown
https://www.fantasyguru.com/rays-plays-july-1st-2026,rays-plays-july-1st-2026,2026-07-01T15:45:01.000Z,Ray's Plays
