url,slug,lastmod,franchise
https://www.fantasyguru.com/2026-offensive-line-breakdown,2026-offensive-line-breakdown,2026-07-10T06:12:50.000Z,Offensive Line Breakdown
https://www.fantasyguru.com/dynasty-ratings-update-7-8-26,dynasty-ratings-update-7-8-26,2026-07-09T10:42:00.000Z,Dynasty
https://www.fantasyguru.com/graphic-depiction-predicted-qb-types-fantasy-football-2026,graphic-depiction-predicted-qb-types-fantasy-football-2026,2026-07-08T16:42:08.000Z,QB Analysis
https://www.fantasyguru.com/2026-nfl-roster-coach,2026-nfl-roster-coach,2026-07-07T22:43:26.000Z,Podcast/Livestream
https://www.fantasyguru.com/2026-rookie-expectation-running-back,2026-rookie-expectation-running-back,2026-07-05T02:33:45.000Z,Rookie Expectation/Profile
https://www.fantasyguru.com/dynasty-ratings-update-7-1-26,dynasty-ratings-update-7-1-26,2026-07-02T07:02:54.000Z,Dynasty
https://www.fantasyguru.com/predicting-2026-qb-types-previous-performance,predicting-2026-qb-types-previous-performance,2026-07-01T22:55:19.000Z,QB Analysis
https://www.fantasyguru.com/2026-drafters-tournament-bestball-rankings,2026-drafters-tournament-bestball-rankings,2026-07-01T16:01:03.000Z,Best Ball
https://www.fantasyguru.com/2026-nfl-underdog-tournament-bestball-rankings,2026-nfl-underdog-tournament-bestball-rankings,2026-07-01T15:12:31.000Z,Best Ball
https://www.fantasyguru.com/2026-nfl-draftkings-tournament-bestball-rankings,2026-nfl-draftkings-tournament-bestball-rankings,2026-07-01T12:26:32.000Z,Best Ball
https://www.fantasyguru.com/dynasty-league-rules-and-setup-2,dynasty-league-rules-and-setup-2,2026-06-29T21:41:55.000Z,Dynasty
https://www.fantasyguru.com/best-ball-adp-risers-and-fallers-june-2026,best-ball-adp-risers-and-fallers-june-2026,2026-06-26T18:24:40.000Z,Best Ball
https://www.fantasyguru.com/fantasy-football-2026-by-the-numbers-tight-end,fantasy-football-2026-by-the-numbers-tight-end,2026-06-26T13:48:36.000Z,
https://www.fantasyguru.com/fantasy-football-2026-by-the-numbers-wide-receiver,fantasy-football-2026-by-the-numbers-wide-receiver,2026-06-26T13:43:29.000Z,
https://www.fantasyguru.com/fantasy-football-2026-by-the-numbers-running-back,fantasy-football-2026-by-the-numbers-running-back,2026-06-26T13:39:37.000Z,
https://www.fantasyguru.com/fantasy-football-2026-by-the-numbers-quarterback,fantasy-football-2026-by-the-numbers-quarterback,2026-06-26T13:36:20.000Z,QB Analysis
https://www.fantasyguru.com/dynasty-ratings-update-6-25-26,dynasty-ratings-update-6-25-26,2026-06-25T08:52:59.000Z,Dynasty
https://www.fantasyguru.com/fantasy-football-predicting-qb-type-previous-performance-2026-update,fantasy-football-predicting-qb-type-previous-performance-2026-update,2026-06-25T02:40:06.000Z,QB Analysis
