,plays_pg_season,PROE_season,off_epa_season,plays_pg_L4W,PROE_L4W,off_epa_L4W,PROE_delta,pace_delta
NO,65.35,-2.31,-0.08,66.5,3.82,0.04,6.1,1.1
JAX,66.18,2.01,0.04,64.0,7.76,0.16,5.8,-2.2
CAR,61.18,-5.31,-0.03,52.25,-1.28,-0.07,4.0,-8.9
SF,64.71,-0.46,0.09,62.75,2.82,0.2,3.3,-2.0
DET,64.0,-4.25,0.07,68.5,-1.74,-0.02,2.5,4.5
CLE,63.41,-3.16,-0.18,56.5,-1.1,-0.23,2.1,-6.9
DEN,66.0,2.09,0.04,65.0,3.46,0.02,1.4,-1.0
TB,66.12,-2.82,0.0,66.5,-1.55,0.07,1.3,0.4
SEA,61.29,-6.1,0.04,63.75,-5.32,0.01,0.8,2.5
NYG,67.12,-4.08,0.04,65.0,-3.91,0.05,0.2,-2.1
PIT,59.82,-0.21,0.03,69.75,-0.98,0.05,-0.8,9.9
MIN,58.0,-0.56,-0.09,58.25,-1.35,-0.03,-0.8,0.2
MIA,57.18,-5.21,-0.02,54.75,-6.12,-0.1,-0.9,-2.4
CHI,67.06,-3.28,0.08,62.25,-4.32,0.13,-1.0,-4.8
CIN,64.53,2.06,0.01,69.5,0.57,0.06,-1.5,5.0
LA,65.0,3.54,0.15,75.0,1.99,0.14,-1.6,10.0
GB,60.59,-3.5,0.12,57.75,-5.22,-0.0,-1.7,-2.8
PHI,60.94,-1.95,0.03,63.5,-3.76,0.12,-1.8,2.6
NE,62.53,2.94,0.16,61.25,1.1,0.32,-1.8,-1.3
LAC,66.24,0.69,-0.02,64.75,-1.69,-0.05,-2.4,-1.5
ATL,63.47,-5.57,-0.01,64.25,-8.03,0.04,-2.5,0.8
BUF,65.06,-3.33,0.14,65.25,-6.66,0.15,-3.3,0.2
TEN,61.53,-3.17,-0.15,63.0,-6.96,-0.07,-3.8,1.5
NYJ,61.18,-8.24,-0.12,61.25,-12.06,-0.25,-3.8,0.1
WAS,60.94,-3.1,0.03,55.25,-7.49,0.07,-4.4,-5.7
ARI,66.59,4.17,-0.02,59.0,-0.2,0.0,-4.4,-7.6
HOU,67.29,-0.44,-0.01,64.0,-5.05,0.02,-4.6,-3.3
DAL,68.65,-0.19,0.11,68.75,-5.45,0.09,-5.3,0.1
KC,64.53,4.61,0.04,53.0,-1.47,-0.26,-6.1,-11.5
IND,62.35,-0.67,0.08,60.75,-7.09,-0.07,-6.4,-1.6
LV,57.94,-1.67,-0.19,54.25,-8.36,-0.28,-6.7,-3.7
BAL,58.47,-8.18,0.04,54.25,-18.75,0.21,-10.6,-4.2
