team,games,plays_pg,PROE,pass_rate,neutral_pass,shotgun,no_huddle,rz_pass,off_epa_play,rb_bellcow,wr_funnel,scheme
KC,17,64.5,4.6,0.669,0.622,0.81,0.026,0.614,0.043,0.471,0.235,PASS-heavy · fast · committee-RB
ARI,17,66.6,4.2,0.699,0.628,0.712,0.12,0.702,-0.015,0.316,0.34,PASS-heavy · fast · committee-RB · WR1-funnel
LA,17,65.0,3.5,0.597,0.601,0.413,0.071,0.59,0.149,0.627,0.321,PASS-heavy · fast · bellcow-RB · WR1-funnel
NE,17,62.5,2.9,0.612,0.584,0.557,0.024,0.55,0.157,0.484,0.258,PASS-heavy · avg-pace · committee-RB
DEN,17,66.0,2.1,0.633,0.583,0.652,0.13,0.607,0.037,0.445,0.263,PASS-heavy · fast · committee-RB · WR1-funnel
CIN,17,64.5,2.1,0.662,0.609,0.82,0.026,0.615,0.011,0.695,0.373,PASS-heavy · fast · bellcow-RB · WR1-funnel
JAX,17,66.2,2.0,0.609,0.594,0.612,0.071,0.514,0.037,0.705,0.233,balanced · fast · bellcow-RB
LAC,17,66.2,0.7,0.633,0.6,0.712,0.036,0.595,-0.015,0.438,0.26,balanced · fast · committee-RB · WR1-funnel
PIT,17,59.8,-0.2,0.618,0.556,0.671,0.118,0.545,0.028,0.598,0.241,balanced · slow
DAL,17,68.6,-0.2,0.632,0.545,0.636,0.093,0.606,0.111,0.658,0.261,balanced · fast · bellcow-RB · WR1-funnel
HOU,17,67.3,-0.4,0.608,0.575,0.616,0.043,0.575,-0.012,0.504,0.253,balanced · fast
SF,17,64.7,-0.5,0.597,0.58,0.539,0.037,0.55,0.09,0.772,0.242,balanced · fast · bellcow-RB
MIN,17,58.0,-0.6,0.617,0.548,0.556,0.074,0.669,-0.094,0.468,0.381,balanced · slow · committee-RB · WR1-funnel
IND,17,62.4,-0.7,0.604,0.563,0.716,0.052,0.505,0.08,0.866,0.257,balanced · avg-pace · bellcow-RB
LV,17,57.9,-1.7,0.644,0.552,0.669,0.089,0.653,-0.192,0.866,0.249,balanced · slow · bellcow-RB
PHI,17,60.9,-2.0,0.585,0.558,0.777,0.195,0.469,0.033,0.759,0.309,balanced · avg-pace · bellcow-RB · WR1-funnel
NO,17,65.4,-2.3,0.639,0.566,0.789,0.225,0.549,-0.079,0.434,0.393,RUN-heavy · fast · committee-RB · WR1-funnel
TB,17,66.1,-2.8,0.614,0.532,0.654,0.066,0.596,0.002,0.435,0.283,RUN-heavy · fast · committee-RB · WR1-funnel
WAS,17,60.9,-3.1,0.596,0.51,0.879,0.615,0.455,0.034,0.507,0.263,RUN-heavy · avg-pace · WR1-funnel
TEN,17,61.5,-3.2,0.656,0.518,0.728,0.1,0.617,-0.148,0.738,0.214,RUN-heavy · avg-pace · bellcow-RB
CLE,17,63.4,-3.2,0.632,0.533,0.673,0.09,0.56,-0.177,0.646,0.266,RUN-heavy · avg-pace · bellcow-RB · WR1-funnel
BUF,17,65.1,-3.3,0.561,0.517,0.505,0.061,0.49,0.14,0.737,0.228,RUN-heavy · fast · bellcow-RB
CHI,17,67.1,-3.3,0.597,0.558,0.524,0.05,0.5,0.076,0.558,0.2,RUN-heavy · fast
GB,17,60.6,-3.5,0.568,0.52,0.63,0.091,0.497,0.124,0.606,0.23,RUN-heavy · avg-pace
NYG,17,67.1,-4.1,0.592,0.499,0.77,0.212,0.51,0.044,0.444,0.344,RUN-heavy · fast · committee-RB · WR1-funnel
DET,17,64.0,-4.3,0.597,0.529,0.518,0.061,0.54,0.072,0.597,0.403,RUN-heavy · fast · WR1-funnel
MIA,17,57.2,-5.2,0.574,0.516,0.714,0.036,0.527,-0.022,0.63,0.288,RUN-heavy · slow · bellcow-RB · WR1-funnel
CAR,17,61.2,-5.3,0.597,0.53,0.67,0.061,0.609,-0.027,0.605,0.314,RUN-heavy · avg-pace · WR1-funnel
ATL,17,63.5,-5.6,0.572,0.524,0.806,0.113,0.523,-0.008,0.654,0.306,RUN-heavy · avg-pace · bellcow-RB · WR1-funnel
SEA,17,61.3,-6.1,0.529,0.535,0.463,0.074,0.472,0.039,0.502,0.356,RUN-heavy · avg-pace · WR1-funnel
BAL,17,58.5,-8.2,0.536,0.473,0.656,0.03,0.452,0.037,0.783,0.355,RUN-heavy · slow · bellcow-RB · WR1-funnel
NYJ,17,61.2,-8.2,0.612,0.473,0.73,0.095,0.563,-0.124,0.73,0.186,RUN-heavy · avg-pace · bellcow-RB
