name,pa,xwoba,barrel_batted_rate,hard_hit_percent,k_percent,bb_percent,whiff_percent,SMASH,tier
"Alvarez, Yordan",406,0.468,18.7,53.3,17.7,14.5,19.6,71.2,ELITE
"Soto, Juan",322,0.434,15.2,48.7,12.7,16.8,19.3,69.1,ELITE
"Wood, James",440,0.432,22.8,59.9,28.9,17.5,31.1,68.0,ELITE
"Trout, Mike",345,0.41,20.9,50.5,24.9,19.4,22.9,67.5,ELITE
"Judge, Aaron",261,0.415,21.7,57.3,27.6,16.1,32.2,65.6,ELITE
"Jeffers, Ryan",148,0.389,15.8,43.6,15.5,15.5,16.5,65.0,ELITE
"Vargas, Miguel",396,0.398,14.6,46.1,16.7,14.1,19.9,64.1,ELITE
"Ohtani, Shohei",395,0.411,16.5,52.1,22.8,15.2,28.5,63.9,ELITE
"Witt Jr., Bobby",390,0.393,12.5,53.0,16.7,10.0,24.2,61.7,GREEN
"Smith, Will",201,0.385,13.4,39.4,16.9,11.4,16.4,61.3,GREEN
"Velázquez, Nelson",63,0.407,11.9,66.7,22.2,9.5,34.1,61.1,GREEN
"Kurtz, Nick",412,0.379,18.1,58.3,31.6,18.4,36.8,61.1,GREEN
"Caminero, Junior",398,0.371,13.1,51.5,18.3,12.3,22.6,61.1,GREEN
"Murakami, Munetaka",246,0.379,20.7,58.7,32.5,17.9,41.8,60.8,GREEN
"Eldridge, Bryce",205,0.381,13.2,55.0,24.4,12.7,23.7,60.8,GREEN
"Freeman, Freddie",398,0.386,10.9,45.1,16.1,11.8,21.1,60.7,GREEN
"Grisham, Trent",290,0.353,10.9,47.0,16.9,13.4,16.6,60.2,GREEN
"Harper, Bryce",395,0.396,11.8,46.3,20.5,14.9,30.8,60.1,GREEN
"McGonigle, Kevin",400,0.368,7.8,37.5,13.5,14.8,15.4,59.9,GREEN
"Burleson, Alec",387,0.382,11.0,48.5,15.2,8.0,20.9,59.9,GREEN
"Nimmo, Brandon",372,0.382,13.1,52.5,20.7,8.1,22.5,59.8,GREEN
"Rodríguez, Endy",122,0.366,12.7,46.5,23.8,17.2,25.9,59.7,GREEN
"Rice, Ben",377,0.376,14.9,46.9,23.3,11.9,24.7,59.6,GREEN
"Canzone, Dominic",246,0.38,15.9,48.8,20.7,8.9,28.6,59.3,GREEN
"Schwarber, Kyle",401,0.382,19.7,53.8,34.9,14.5,35.0,59.3,GREEN
"Sánchez, Gary",170,0.376,9.4,38.7,18.2,18.2,26.6,59.3,GREEN
"Baldwin, Drake",306,0.374,15.1,50.3,23.2,9.5,24.8,59.2,GREEN
"Alonso, Pete",406,0.377,12.5,53.7,24.1,12.1,27.5,59.2,GREEN
"Díaz, Yandy",380,0.365,6.8,48.0,13.9,9.7,14.9,59.2,GREEN
"Marte, Ketel",391,0.372,11.1,45.5,13.3,7.4,20.3,59.1,GREEN
"Acuña Jr., Ronald",236,0.378,13.1,43.4,22.0,14.8,29.3,58.9,GREEN
"Mead, Curtis",286,0.361,11.3,43.4,18.9,11.2,17.1,58.9,GREEN
"Olson, Matt",403,0.363,14.2,51.9,23.3,9.9,24.1,58.7,GREEN
"Ramírez, José",314,0.356,6.6,44.2,14.0,13.1,17.3,58.7,GREEN
"Bauers, Jake",334,0.359,13.5,53.0,25.7,12.9,26.8,58.4,GREEN
"Valdez, Esmerlyn",92,0.359,28.0,50.0,35.9,9.8,36.1,58.3,GREEN
"Aranda, Jonathan",393,0.369,10.5,44.5,22.1,13.0,21.9,58.2,GREEN
"Moreno, Gabriel",261,0.362,7.4,41.8,15.3,11.1,16.3,58.1,GREEN
"Foscue, Justin",113,0.371,13.3,45.3,23.0,8.8,20.8,58.1,GREEN
"Contreras, Willson",364,0.39,14.3,46.7,24.7,9.6,30.0,58.0,GREEN
"Correa, Carlos",141,0.364,10.3,41.2,18.4,12.8,22.9,57.9,GREEN
"Reynolds, Bryan",410,0.368,10.3,47.4,22.2,14.9,28.9,57.9,GREEN
"Dingler, Dillon",353,0.38,11.8,47.8,21.0,6.5,21.8,57.8,GREEN
"García Jr., Luis",307,0.365,10.7,47.8,15.0,4.6,19.0,57.7,GREEN
"Muncy, Max",329,0.364,13.8,45.2,23.4,11.9,27.6,57.6,GREEN
"Horwitz, Spencer",295,0.339,8.6,34.3,13.6,13.6,15.2,57.5,GREEN
"Soderstrom, Tyler",340,0.342,9.8,44.3,17.4,12.9,21.4,57.4,GREEN
"Bleday, JJ",272,0.365,9.6,42.7,19.5,13.6,26.2,57.3,GREEN
"Walker, Jordan",384,0.376,14.6,52.2,25.3,8.1,31.1,57.2,GREEN
"Rutschman, Adley",267,0.347,7.5,42.5,14.6,10.1,15.9,57.2,GREEN
"Nootbaar, Lars",113,0.341,9.3,50.7,22.1,11.5,18.4,57.2,GREEN
"Pratt, Cooper",81,0.388,5.7,34.5,16.0,14.8,26.2,57.1,GREEN
"Betts, Mookie",249,0.339,8.5,40.0,11.6,7.6,12.6,57.1,GREEN
"Guerrero Jr., Vladimir",373,0.344,7.0,44.2,12.1,10.5,19.7,57.1,GREEN
"Campusano, Luis",75,0.354,10.6,48.9,22.7,13.3,27.0,57.1,GREEN
"Greene, Riley",388,0.362,13.6,49.8,26.8,12.1,29.9,56.9,GREEN
"Wetherholt, JJ",395,0.355,7.2,45.6,15.4,9.6,20.1,56.9,GREEN
"Langeliers, Shea",375,0.364,14.6,44.1,21.1,8.0,27.3,56.8,GREEN
"Lindor, Francisco",159,0.35,8.7,50.4,17.0,9.4,24.3,56.7,GREEN
"De La Cruz, Elly",325,0.359,15.3,53.1,29.2,9.8,29.3,56.7,GREEN
"Stewart, Sal",400,0.35,14.8,41.0,21.5,11.3,27.5,56.6,GREEN
"Busch, Michael",412,0.348,10.5,40.7,22.1,15.3,25.4,56.5,GREEN
"Hernández, Heriberto",216,0.37,11.1,50.7,22.7,10.2,31.6,56.5,GREEN
"Schuemann, Max",64,0.34,14.7,38.2,25.0,17.2,29.6,56.5,GREEN
"Herrera, Iván",411,0.352,6.0,41.6,16.5,12.4,20.1,56.4,GREEN
"Edman, Tommy",67,0.374,6.4,38.3,17.9,10.4,19.7,56.3,GREEN
"Ward, Taylor",426,0.347,5.8,39.7,21.1,16.7,19.4,56.3,GREEN
"Buxton, Byron",335,0.351,18.7,47.6,24.8,6.9,30.9,56.3,GREEN
"Harris II, Michael",340,0.366,13.0,50.0,20.6,4.4,26.5,56.2,GREEN
"Cortes, Carlos",225,0.341,8.2,40.4,12.9,9.3,19.4,56.2,GREEN
"Bellinger, Cody",391,0.348,6.8,37.1,15.3,12.8,20.1,56.1,GREEN
"Anthony, Roman",130,0.352,9.3,47.4,25.4,15.4,28.1,56.1,GREEN
"Crow-Armstrong, Pete",404,0.367,10.9,49.2,25.5,10.6,28.5,56.1,GREEN
"Caglianone, Jac",337,0.36,15.5,57.5,30.0,7.4,31.3,56.0,GREEN
"DeLauter, Chase",319,0.335,5.7,43.7,13.5,9.4,15.7,56.0,WHITE
"Pederson, Joc",284,0.349,11.0,49.7,22.9,12.0,30.0,55.9,WHITE
"Tatis Jr., Fernando",402,0.349,11.0,52.7,20.6,8.0,28.5,55.8,WHITE
"Grichuk, Randal",140,0.367,13.7,47.1,22.9,3.6,23.8,55.7,WHITE
"Antonacci, Sam",294,0.365,6.7,36.7,15.3,7.1,16.0,55.7,WHITE
"Vaughn, Andrew",167,0.342,3.2,39.7,11.4,12.0,18.4,55.7,WHITE
"Jung, Josh",363,0.348,6.1,48.5,17.9,8.0,18.5,55.6,WHITE
"Carroll, Corbin",384,0.347,11.5,46.6,22.7,11.7,29.1,55.6,WHITE
"Julien, Edouard",242,0.344,6.9,51.4,26.0,14.0,23.3,55.6,WHITE
"Cruz, Oneil",283,0.358,16.7,59.2,34.6,10.6,37.8,55.5,WHITE
"Conine, Griffin",84,0.38,13.0,54.3,31.0,11.9,40.0,55.5,WHITE
"Chourio, Jackson",272,0.338,14.1,47.0,23.9,7.4,22.6,55.5,WHITE
"Contreras, William",378,0.336,7.2,42.3,13.2,8.5,18.9,55.5,WHITE
"Torres, Gleyber",190,0.342,7.9,31.7,17.4,15.3,21.8,55.4,WHITE
"Karros, Kyle",310,0.341,8.5,44.3,21.3,12.9,24.7,55.3,WHITE
"Kelenic, Jarred",69,0.346,22.2,50.0,36.2,11.6,39.2,55.2,WHITE
"Schmitt, Casey",357,0.36,12.5,44.3,19.3,2.2,21.8,55.1,WHITE
"Perdomo, Geraldo",377,0.327,3.3,30.5,12.2,13.8,12.2,55.0,WHITE
"Turang, Brice",402,0.346,8.1,44.2,25.4,12.7,21.8,54.9,WHITE
"Clemens, Kody",319,0.342,13.2,46.8,22.3,6.6,25.4,54.9,WHITE
"Chaparro, Andrés",62,0.334,12.1,48.5,29.0,16.1,32.4,54.9,WHITE
"Ramos, Heliot",223,0.345,16.1,50.0,26.5,5.4,28.3,54.8,WHITE
"Rojas, Miguel",153,0.328,7.2,38.4,10.5,6.5,16.5,54.7,WHITE
"Lopez, Otto",397,0.344,7.2,43.5,13.1,4.8,20.2,54.6,WHITE
"Edwards, Xavier",397,0.329,4.7,29.0,11.8,12.6,14.7,54.6,WHITE
"Abreu, Wilyer",387,0.334,11.2,41.0,20.7,9.6,23.6,54.5,WHITE
"Mitchell, Garrett",298,0.359,15.4,51.2,33.2,11.7,38.0,54.5,WHITE
"Seager, Corey",219,0.336,15.4,44.6,26.9,12.8,34.9,54.4,WHITE
"Conforto, Michael",157,0.342,12.8,45.7,28.0,12.1,29.8,54.4,WHITE
"Lowe, Nathaniel",220,0.346,10.9,39.6,27.3,11.8,22.4,54.4,WHITE
"Steer, Spencer",345,0.342,13.2,38.3,22.9,9.6,25.9,54.4,WHITE
"Grissom, Vaughn",202,0.332,5.9,42.1,13.9,8.4,20.0,54.3,WHITE
"Benge, Carson",374,0.354,8.0,41.7,20.9,7.5,20.9,54.3,WHITE
"Myers, Dane",137,0.355,7.7,32.5,25.5,12.4,16.9,54.2,WHITE
"Ewing, A.J.",210,0.351,8.2,43.3,25.2,10.5,23.2,54.1,WHITE
"Crawford, J.P.",322,0.327,6.9,36.1,21.1,13.7,17.9,54.1,WHITE
"Pasquantino, Vinnie",291,0.316,7.3,37.7,17.5,11.0,15.8,54.1,WHITE
"Pages, Andy",399,0.337,8.4,44.2,19.3,8.0,22.8,54.0,WHITE
"Thomas, Lane",257,0.329,6.7,40.9,22.2,13.2,20.6,53.9,WHITE
"Sheets, Gavin",309,0.332,7.8,41.5,21.7,10.7,20.8,53.8,WHITE
"Rodríguez, Julio",378,0.351,9.1,44.4,20.9,7.7,27.5,53.7,WHITE
"Caratini, Victor",260,0.336,8.0,39.2,19.2,9.6,21.9,53.7,WHITE
"Loftin, Nick",199,0.322,5.4,31.3,13.1,10.6,14.8,53.7,WHITE
"Stephenson, Tyler",248,0.331,10.5,45.2,25.4,11.3,26.4,53.7,WHITE
"Groover, LuJames",54,0.286,11.1,45.9,20.4,9.3,16.1,53.7,WHITE
"Kelly, Carson",239,0.325,6.5,38.5,16.7,11.3,21.3,53.7,WHITE
"Arozarena, Randy",366,0.352,8.0,42.9,21.6,9.6,27.6,53.6,WHITE
