team,pass_epa_allowed,rush_epa_allowed,pass_sr_allowed,rush_sr_allowed,epa_play_allowed,cov_cmp_pct,cov_rat,cov_ydstgt,prss,sk,passD_idx,rushD_idx,DEF_idx
SEA,-0.061,-0.207,0.424,0.357,-0.111,0.6,79.9,6.36,193,47.0,65.8,68.3,66.8
HOU,-0.097,-0.129,0.406,0.377,-0.109,0.6,80.2,6.87,139,47.0,62.4,64.0,65.7
MIN,-0.086,-0.085,0.416,0.417,-0.085,0.6,88.6,7.06,153,49.0,62.2,50.0,64.1
CLE,-0.091,-0.078,0.433,0.374,-0.085,0.7,90.6,6.76,158,53.0,58.4,56.0,64.1
JAX,-0.067,-0.108,0.449,0.363,-0.08,0.6,79.4,6.5,163,32.0,65.4,63.4,62.5
LAC,-0.051,-0.117,0.427,0.398,-0.076,0.6,78.8,6.7,143,45.0,62.1,60.0,61.4
LA,-0.049,-0.098,0.445,0.376,-0.067,0.6,89.3,7.1,177,47.0,62.0,58.3,60.3
DEN,-0.037,-0.105,0.384,0.363,-0.06,0.6,84.5,6.55,228,68.0,63.6,62.7,59.2
PHI,-0.016,-0.101,0.432,0.416,-0.05,0.6,78.7,6.61,152,42.0,61.2,53.8,58.1
NO,0.018,-0.131,0.442,0.392,-0.048,0.6,94.0,6.99,145,44.0,54.6,63.7,57.0
NE,-0.018,-0.079,0.462,0.429,-0.041,0.7,93.2,6.88,121,34.0,48.7,48.1,56.0
BUF,-0.05,0.047,0.428,0.432,-0.008,0.6,82.8,6.59,132,36.0,58.8,36.1,54.9
KC,0.055,-0.1,0.472,0.395,-0.007,0.7,98.4,7.44,140,33.0,45.8,56.5,53.8
ATL,0.033,-0.028,0.466,0.432,0.009,0.6,90.9,7.3,155,57.0,57.0,39.5,52.7
DET,0.039,-0.036,0.434,0.41,0.011,0.6,95.3,7.46,155,48.0,54.0,45.1,51.6
TB,0.081,-0.117,0.494,0.366,0.013,0.7,98.7,8.14,132,37.0,43.2,64.4,50.5
IND,0.082,-0.101,0.482,0.416,0.016,0.7,93.2,7.43,167,39.0,51.8,53.8,49.5
PIT,0.059,-0.039,0.461,0.396,0.023,0.7,93.4,7.48,158,48.0,51.0,48.4,47.8
BAL,0.096,-0.115,0.463,0.402,0.023,0.6,89.4,7.37,137,30.0,51.5,58.5,47.8
LV,0.114,-0.088,0.477,0.409,0.028,0.7,97.3,7.09,115,36.0,40.7,53.1,46.2
CHI,0.09,-0.042,0.494,0.44,0.036,0.7,95.2,7.95,130,35.0,44.5,42.4,45.1
GB,0.117,-0.063,0.459,0.441,0.043,0.7,97.5,6.7,166,36.0,46.5,43.3,44.0
CAR,0.125,-0.025,0.479,0.393,0.06,0.7,88.3,7.4,98,30.0,43.9,46.0,43.0
SF,0.149,-0.071,0.493,0.463,0.066,0.7,100.0,7.1,107,20.0,37.0,42.5,41.9
MIA,0.171,-0.038,0.522,0.427,0.086,0.7,103.4,7.86,130,39.0,38.1,43.3,40.8
ARI,0.174,-0.042,0.526,0.429,0.087,0.7,97.5,7.59,116,30.0,38.4,44.6,39.7
NYG,0.092,0.111,0.472,0.475,0.1,0.7,95.2,7.41,143,38.0,46.1,31.7,38.6
TEN,0.197,-0.042,0.495,0.388,0.104,0.7,109.3,8.79,152,42.0,38.7,51.8,37.5
CIN,0.183,0.037,0.504,0.436,0.124,0.7,98.6,8.19,127,34.0,37.8,36.0,36.5
NYJ,0.29,-0.034,0.491,0.414,0.147,0.7,108.6,7.78,88,26.0,32.4,43.9,35.4
WAS,0.239,0.028,0.502,0.446,0.152,0.7,104.6,8.53,127,42.0,35.5,35.9,34.3
DAL,0.24,0.031,0.51,0.448,0.162,0.7,109.9,8.61,200,34.0,40.9,34.8,33.2
