team,pressure_pct,pocket_time,times_sacked,sack_rate,ybc_att,OL_idx,DL_idx,prss,sk
LA,18.469,2.396,52,0.037,2.785,68.7,64.5,177,47.0
DEN,19.069,2.401,45,0.035,2.583,66.5,69.9,228,68.0
BUF,16.727,2.507,29,0.075,2.896,66.2,44.4,132,36.0
SF,19.452,2.547,53,0.045,2.329,63.6,35.3,107,20.0
CHI,24.977,2.496,42,0.04,3.133,62.3,43.7,130,35.0
ATL,19.019,2.4,49,0.046,2.506,62.3,57.3,155,57.0
PHI,20.208,2.491,28,0.066,2.617,60.1,53.6,152,42.0
TB,14.999,2.292,22,0.064,2.714,60.0,44.8,132,37.0
DAL,21.508,2.396,57,0.047,2.567,56.8,60.7,200,34.0
SEA,20.825,2.4,35,0.053,2.459,55.1,64.9,193,47.0
WAS,18.297,2.36,42,0.071,2.499,53.6,43.0,127,42.0
IND,19.289,2.237,56,0.051,2.441,53.6,59.8,167,39.0
PIT,15.156,2.209,31,0.053,2.289,53.2,60.2,158,48.0
BAL,22.62,2.454,39,0.097,3.129,50.3,43.6,137,30.0
NE,21.366,2.406,42,0.086,2.599,50.1,39.6,121,34.0
HOU,19.925,2.345,47,0.051,2.104,50.0,49.0,139,47.0
GB,21.737,2.41,54,0.056,2.203,49.8,58.0,166,36.0
DET,24.561,2.297,77,0.061,2.847,49.1,58.9,155,48.0
CIN,20.639,2.22,64,0.053,2.278,47.9,41.5,127,34.0
CAR,23.993,2.4,50,0.064,2.479,47.8,31.9,98,30.0
JAX,21.861,2.395,40,0.068,2.246,43.8,55.6,163,32.0
NYJ,25.038,2.423,58,0.109,2.878,43.7,29.7,88,26.0
NYG,24.916,2.388,60,0.084,2.718,42.9,51.0,143,38.0
KC,24.299,2.212,80,0.074,2.641,42.4,45.3,140,33.0
NO,18.624,2.2,30,0.077,2.069,42.1,52.4,145,44.0
ARI,24.644,2.373,72,0.083,2.582,40.9,36.2,116,30.0
MIA,21.804,2.29,26,0.074,2.234,39.7,45.8,130,39.0
LV,22.552,2.487,49,0.111,1.644,37.4,38.5,115,36.0
TEN,27.863,2.389,54,0.089,2.515,36.2,54.7,152,42.0
LAC,28.528,2.37,77,0.095,2.615,36.0,52.1,143,45.0
MIN,25.699,2.429,60,0.11,2.428,35.6,56.8,153,49.0
CLE,29.483,2.444,80,0.096,1.818,32.2,57.2,158,53.0
